Namn,Dag,Månad,Ingår i namnlängden,Typ
Chris,15,3,Nej,Namn
Kristoffer,15,3,Ja,Namn
Gilbert,16,3,Ja,Namn
Herbert,16,3,Ja,Namn
Gerti,17,3,Nej,Namn
Gertie,17,3,Nej,Namn
Gertrud,17,3,Ja,Namn
Gerty,17,3,Nej,Namn
Kerttu,17,3,Nej,Namn
Trude,17,3,Nej,Namn
Edde,18,3,Nej,Namn
Eddie,18,3,Nej,Namn
Eddy,18,3,Nej,Namn
Edmund,18,3,Ja,Namn
Eduardo,18,3,Nej,Namn
Edvard,18,3,Ja,Namn
Giuseppe,19,3,Nej,Namn
José,19,3,Nej,Namn
Josef,19,3,Ja,Namn
Josefin,19,3,Nej,Namn
Josefina,19,3,Ja,Namn
Josefine,19,3,Nej,Namn
Joakim,20,3,Ja,Namn
Jockum,20,3,Nej,Namn
Kim,20,3,Ja,Namn
Benedikt,21,3,Nej,Namn
Bengt,21,3,Ja,Namn
Bengta,21,3,Nej,Namn
Benita,21,3,Nej,Namn
Bent,21,3,Nej,Namn
Pentti,21,3,Nej,Namn
Ken,22,3,Nej,Namn
Kennet,22,3,Ja,Namn
Kennie,22,3,Nej,Namn
Kenny,22,3,Nej,Namn
Kent,22,3,Ja,Namn
Gerd,23,3,Ja,Namn
Gerda,23,3,Ja,Namn
Gabriel,24,3,Ja,Namn
Rafael,24,3,Ja,Namn
Marie Bebådelsedag,25,3,Ja,Högtid
Emanuel,26,3,Ja,Namn
Immanuel,26,3,Nej,Namn
Manne,26,3,Nej,Namn
Manuel,26,3,Nej,Namn
Manuela,26,3,Nej,Namn
Ralf,27,3,Ja,Namn
Rudolf,27,3,Ja,Namn
Malkolm,28,3,Ja,Namn
Morgan,28,3,Ja,Namn
Jens,29,3,Ja,Namn
Jonas,29,3,Ja,Namn
Holger,30,3,Ja,Namn
Holmfrid,30,3,Ja,Namn
Essie,31,3,Nej,Namn
Essy,31,3,Nej,Namn
Ester,31,3,Ja,Namn
Harald,1,4,Ja,Namn
Harold,1,4,Nej,Namn
Hervor,1,4,Ja,Namn
Gudmund,2,4,Ja,Namn
Ingeman,2,4,Nej,Namn
Ingemund,2,4,Ja,Namn
Ferdinand,3,4,Ja,Namn
Fernando,3,4,Nej,Namn
Hernan,3,4,Nej,Namn
Nanna,3,4,Ja,Namn
Marianne,4,4,Ja,Namn
Marlen,4,4,Nej,Namn
Marlene,4,4,Ja,Namn
Iren,5,4,Nej,Namn
Irena,5,4,Nej,Namn
Irene,5,4,Ja,Namn
Irina,5,4,Nej,Namn
Irja,5,4,Ja,Namn
Bill,6,4,Nej,Namn
Billy,6,4,Nej,Namn
Guillermo,6,4,Nej,Namn
Vilhelm,6,4,Ja,Namn
Viljo,6,4,Nej,Namn
Ville,6,4,Nej,Namn
Villy,6,4,Nej,Namn
Willi,6,4,Nej,Namn
William,6,4,Ja,Namn
Irma,7,4,Ja,Namn
Irmeli,7,4,Nej,Namn
Irmelin,7,4,Ja,Namn
Irmgard,7,4,Nej,Namn
Nadja,8,4,Ja,Namn
Tanja,8,4,Ja,Namn
Tatjana,8,4,Nej,Namn
Otelia,9,4,Nej,Namn
Otti,9,4,Nej,Namn
Ottilia,9,4,Ja,Namn
Otto,9,4,Ja,Namn
Igor,10,4,Nej,Namn
Ingar,10,4,Nej,Namn
Ingvar,10,4,Ja,Namn
Ingvor,10,4,Ja,Namn
Yngvar,10,4,Nej,Namn
Ulf,11,4,Ja,Namn
Wolf,11,4,Nej,Namn
Ylva,11,4,Ja,Namn
Liv,12,4,Ja,Namn
Arto,13,4,Nej,Namn
Artur,13,4,Ja,Namn
Douglas,13,4,Ja,Namn
Tiburtius,14,4,Ja,Namn
Oliver,15,4,Ja,Namn
Olivia,15,4,Ja,Namn
Olly,15,4,Nej,Namn
Viva,15,4,Nej,Namn
Patricia,16,4,Ja,Namn
Patrik,16,4,Ja,Namn
Elias,17,4,Ja,Namn
Elis,17,4,Ja,Namn
Ellis,17,4,Nej,Namn
Valde,18,4,Nej,Namn
Valdemar,18,4,Ja,Namn
Valle,18,4,Nej,Namn
Vladimir,18,4,Nej,Namn
Volmar,18,4,Ja,Namn
Volmer,18,4,Nej,Namn
Ola,19,4,Ja,Namn
Olaus,19,4,Ja,Namn
Olavus,19,4,Nej,Namn
Amalia,20,4,Ja,Namn
Amalie,20,4,Nej,Namn
Amelia,20,4,Nej,Namn
Amelie,20,4,Ja,Namn
Emelia,20,4,Nej,Namn
Emelie,20,4,Nej,Namn
Anneli,21,4,Ja,Namn
Annelie,21,4,Nej,Namn
Annika,21,4,Ja,Namn
Allan,22,4,Ja,Namn
Glenn,22,4,Ja,Namn
Georg,23,4,Ja,Namn
George,23,4,Nej,Namn
Georges,23,4,Nej,Namn
Georgina,23,4,Nej,Namn
Georgios,23,4,Nej,Namn
Georgius,23,4,Nej,Namn
Gina,23,4,Nej,Namn
Göran,23,4,Ja,Namn
György,23,4,Nej,Namn
Jorge,23,4,Nej,Namn
Yrjö,23,4,Nej,Namn
Vega,24,4,Ja,Namn
Marco,25,4,Nej,Namn
Mark,25,4,Nej,Namn
Markku,25,4,Nej,Namn
Markus,25,4,Ja,Namn
Teresa,26,4,Nej,Namn
Terese,26,4,Ja,Namn
Teresia,26,4,Ja,Namn
Engelbrekt,27,4,Ja,Namn
Ingbert,27,4,Nej,Namn
Ture,28,4,Ja,Namn
Tyra,28,4,Ja,Namn
Tyko,29,4,Ja,Namn
Mariana,30,4,Ja,Namn
Valborg,1,5,Ja,Namn
Felipe,2,5,Nej,Namn
Filip,2,5,Ja,Namn
Filippa,2,5,Ja,Namn
Ian,3,5,Nej,Namn
Jane,3,5,Ja,Namn
John,3,5,Ja,Namn
Mona,4,5,Ja,Namn
Monika,4,5,Ja,Namn
Monique,4,5,Nej,Namn
Erhard,5,5,Ja,Namn
Gotthard,5,5,Ja,Namn
Marit,6,5,Ja,Namn
Rita,6,5,Ja,Namn
Carina,7,5,Ja,Namn
Carine,7,5,Nej,Namn
Carita,7,5,Ja,Namn
Åge,8,5,Nej,Namn
Åke,8,5,Ja,Namn
Reidar,9,5,Ja,Namn
Reidun,9,5,Ja,Namn
Asbjörn,10,5,Nej,Namn
Esbjörn,10,5,Ja,Namn
Styrbjörn,10,5,Ja,Namn
Märet,11,5,Nej,Namn
Märit,11,5,Ja,Namn
Märta,11,5,Ja,Namn
Merete,11,5,Nej,Namn
Merit,11,5,Nej,Namn
Charlott,12,5,Nej,Namn
Charlotta,12,5,Ja,Namn
Charlotte,12,5,Nej,Namn
Lotta,12,5,Ja,Namn
Lotte,12,5,Nej,Namn
Lotten,12,5,Nej,Namn
Lottie,12,5,Nej,Namn
Linn,13,5,Ja,Namn
Linnea,13,5,Ja,Namn
Nea,13,5,Nej,Namn
Ninni,13,5,Nej,Namn
Ninnie,13,5,Nej,Namn
Halvar,14,5,Ja,Namn
Halvard,14,5,Ja,Namn
Halvor,14,5,Nej,Namn
Sofi,15,5,Nej,Namn
Sofia,15,5,Ja,Namn
Sofie,15,5,Nej,Namn
Sonja,15,5,Ja,Namn
Ronald,16,5,Ja,Namn
Ronnie,16,5,Nej,Namn
Ronny,16,5,Ja,Namn
Rebecka,17,5,Ja,Namn
Ruben,17,5,Ja,Namn
Eero,18,5,Nej,Namn
Erik,18,5,Ja,Namn
Erkki,18,5,Nej,Namn
Jerk,18,5,Nej,Namn
Jerker,18,5,Nej,Namn
Maj,19,5,Ja,Namn
Majken,19,5,Ja,Namn
May,19,5,Nej,Namn
Calla,20,5,Nej,Namn
Carola,20,5,Ja,Namn
Carole,20,5,Nej,Namn
Caroline,20,5,Nej,Namn
Karolin,20,5,Nej,Namn
Karolina,20,5,Ja,Namn
Lina,20,5,Nej,Namn
Line,20,5,Nej,Namn
Connie,21,5,Nej,Namn
Conny,21,5,Ja,Namn
Constance,21,5,Nej,Namn
Konstantia,21,5,Nej,Namn
Konstantin,21,5,Ja,Namn
Hemming,22,5,Ja,Namn
Henning,22,5,Ja,Namn
Desideria,23,5,Ja,Namn
Desirée,23,5,Ja,Namn
Ivan,24,5,Ja,Namn
Vanja,24,5,Ja,Namn
Urban,25,5,Ja,Namn
Helma,26,5,Nej,Namn
Helmi,26,5,Nej,Namn
Helmina,26,5,Nej,Namn
Hilma,26,5,Nej,Namn
Mina,26,5,Nej,Namn
Minna,26,5,Nej,Namn
Minnie,26,5,Nej,Namn
Vilhelmina,26,5,Ja,Namn
Vilma,26,5,Ja,Namn
Beda,27,5,Ja,Namn
Blenda,27,5,Ja,Namn
Bojan,28,5,Nej,Namn
Borghild,28,5,Ja,Namn
Ingeborg,28,5,Ja,Namn
Jeanette,29,5,Ja,Namn
Yvette,29,5,Nej,Namn
Yvonne,29,5,Ja,Namn
Vera,30,5,Ja,Namn
Veronika,30,5,Ja,Namn
Nilla,31,5,Nej,Namn
Pernilla,31,5,Ja,Namn
Pernille,31,5,Nej,Namn
Petronella,31,5,Ja,Namn
Gun,1,6,Ja,Namn
Gunnel,1,6,Ja,Namn
Roger,2,6,Ja,Namn
Rutger,2,6,Ja,Namn
Gudmar,3,6,Ja,Namn
Ingemar,3,6,Ja,Namn
Ingmar,3,6,Nej,Namn
Solbritt,4,6,Ja,Namn
Solveig,4,6,Ja,Namn
Solvig,4,6,Nej,Namn
Bo,5,6,Ja,Namn
Bonde,5,6,Nej,Namn
Bosse,5,6,Nej,Namn
Gösta,6,6,Ja,Namn
Gustav,6,6,Ja,Namn
Gustava,6,6,Nej,Namn
Bob,7,6,Nej,Namn
Bobby,7,6,Nej,Namn
Robert,7,6,Ja,Namn
Roberto,7,6,Nej,Namn
Robin,7,6,Ja,Namn
Rupert,7,6,Nej,Namn
Eivor,8,6,Ja,Namn
Majvor,8,6,Ja,Namn
Birger,9,6,Ja,Namn
Börje,9,6,Ja,Namn
Boris,10,6,Ja,Namn
Svante,10,6,Ja,Namn
Barthold,11,6,Nej,Namn
Bertel,11,6,Nej,Namn
Berthold,11,6,Ja,Namn
Bertil,11,6,Ja,Namn
Pertti,11,6,Nej,Namn
Eskil,12,6,Ja,Namn
Esko,12,6,Nej,Namn
Aina,13,6,Ja,Namn
Aini,13,6,Nej,Namn
Aino,13,6,Ja,Namn
Håkan,14,6,Ja,Namn
Hakon,14,6,Ja,Namn
Håkon,14,6,Nej,Namn
Hakvin,14,6,Nej,Namn
Margit,15,6,Ja,Namn
Margot,15,6,Ja,Namn
Acke,16,6,Nej,Namn
Axel,16,6,Ja,Namn
Axelia,16,6,Nej,Namn
Axelina,16,6,Ja,Namn
Torborg,17,6,Ja,Namn
Torvald,17,6,Ja,Namn
Bjarne,18,6,Ja,Namn
Björn,18,6,Ja,Namn
Björne,18,6,Nej,Namn
Björner,18,6,Nej,Namn
Germund,19,6,Ja,Namn
Görel,19,6,Ja,Namn
Belinda,20,6,Nej,Namn
Linda,20,6,Ja,Namn
Alf,21,6,Ja,Namn
Alvar,21,6,Ja,Namn
Alve,21,6,Nej,Namn
Paula,22,6,Ja,Namn
Paulina,22,6,Ja,Namn
Pauline,22,6,Nej,Namn
Paulinus,22,6,Nej,Namn
Adolf,23,6,Ja,Namn
Adolfina,23,6,Nej,Namn
Alef,23,6,Nej,Namn
Alice,23,6,Ja,Namn
Alicia,23,6,Nej,Namn
Johannes Döparens dag,24,6,Ja,Högtid
David,25,6,Ja,Namn
Davida,25,6,Nej,Namn
Salomon,25,6,Ja,Namn
Lea,26,6,Ja,Namn
Rakel,26,6,Ja,Namn
Fingal,27,6,Ja,Namn
Selma,27,6,Ja,Namn
Leo,28,6,Ja,Namn
Leon,28,6,Nej,Namn
Peder,29,6,Nej,Namn
Pedro,29,6,Nej,Namn
Pekka,29,6,Nej,Namn
Peter,29,6,Ja,Namn
Petra,29,6,Ja,Namn
Petri,29,6,Nej,Namn
Petrus,29,6,Nej,Namn
Petter,29,6,Nej,Namn
Pierre,29,6,Nej,Namn
